word,freq
blood stains,6
castor oil,1
chronic disease,1
coal mining,1
coal tar,1
coral reefs,1
crimean war,2
criminal law,1
egg shell,1
general practice,2
human body,2
hydrochloric acid,1
income tax,1
middle aged,19
mitral valve,1
nervous system,3
new england,1
occipital bone,1
only child,5
parietal bone,1
private practice,1
professional practice,1
public opinion,1
rheumatic fever,1
rigor mortis,1
sierra leone,1
single person,1
small business,2
solar system,2
south africa,10
subclavian artery,1
swimming pools,1
typhoid fever,1
west indies,1
yellow fever,2
