word;freq
abbess;1
abilities;3
ability;10
accent;14
accident;28
achievements;2
acquaintances;5
adhesive;1
administration;5
administrator;1
adults;1
affects;1
aid;38
alien;3
alkali;6
ambush;2
america;57
anguish;2
animal;31
ankles;4
antidote;1
anxieties;2
ape;3
apes;1
apoplexy;2
apple;4
appointment;55
aptitudes;1
arab;3
arc;1
architecture;3
arms;87
arrowheads;1
arson;1
artery;3
arts;2
aspirations;1
ass;2
associations;4
athlete;7
athletic;6
attentions;11
attorney;1
baboon;6
badger;1
baldness;2
bandage;3
basil;4
bath;15
bathroom;1
bay;11
bear;59
bears;13
bed;159
bedding;1
bee;7
beech;3
beetle;5
belief;16
belladonna;2
benevolence;3
bewilderment;9
bias;2
biases;1
bird;48
birth;8
births;1
bisons;1
bite;7
bites;2
bleeding;9
blizzard;1
blossoms;1
boa;2
boat;47
boats;10
bog;7
bogs;1
bone;12
bones;25
book;150
boys;24
brace;4
brains;22
bravery;1
breakfasts;1
breathing;20
breathlessness;1
brochure;1
brother;206
brothers;27
bruise;3
bruises;4
buckwheat;1
budget;1
buffalo;2
bugle;1
burn;12
burnet;7
business;302
butterfly;5
cabbage;1
camel;1
canary;1
cane;11
capital;30
carbuncles;1
caribou;1
carpet;43
carpets;2
carrying;33
caste;1
cat;17
cell;11
ceylon;1
chalk;15
chamois;2
chant;1
chaplain;6
characters;13
charge;67
charges;3
charity;5
cheeks;37
cheetah;6
chest;39
chewing;1
chicken;4
children;50
chimpanzee;1
chinese;10
choking;7
cigar;65
cigarette;39
cigarettes;14
cigars;17
cinnamon;1
claw;3
claws;3
cleaver;2
client;126
clients;11
clips;2
clothes;65
coals;6
cobra;2
cobras;1
cocoanut;4
coin;2
coins;7
cold;131
colors;2
comb;1
communities;1
community;13
commuting;1
companion;197
companions;30
compassion;1
compensation;5
competence;3
concentration;12
conception;5
condyle;1
conflict;1
constitution;11
constitutions;1
consultant;3
consultation;8
consultations;2
consumption;3
contract;1
convulsion;5
coral;1
corn;1
coroner;20
corpse;3
corpses;1
cost;27
costs;3
cottonwoods;1
couples;1
coyote;1
crackle;1
cramp;2
cranium;1
crib;3
cribs;1
cricket;2
crimes;20
criminal;118
croaker;1
crocodile;2
crow;4
crown;19
cue;2
curacao;1
curiosities;7
curiosity;40
custom;21
dace;1
dance;5
dates;22
daughter;91
deacon;1
deformity;2
delusion;5
denial;5
depressions;1
device;13
devices;5
diamonds;5
dilation;1
dinner;51
disaster;9
diseases;1
displacement;1
dispute;3
dissent;1
dog;138
domicile;1
doss;1
dove;3
dowry;3
dream;21
dressing;64
drills;2
drives;3
dropsy;2
drought;1
drowsiness;1
drugs;3
duck;1
dynamite;1
eagle;8
ears;64
eel;1
egg;10
ejaculations;2
elderly;49
elephant;2
emblem;3
emblems;1
emergency;5
emigrant;1
emotion;36
endowment;1
engraving;1
epidemic;2
equipment;2
eva;4
exhibits;1
expedition;23
expenditure;2
explosion;6
explosives;1
extremity;4
eyebrow;2
eyelid;1
eyes;642
faces;48
fad;2
fainting;5
falling;21
falls;8
familiarity;2
families;12
farming;2
father;217
fears;25
feather;8
fee;8
feeling;74
feelings;24
fees;1
feet;204
fellowship;2
ferret;5
festival;1
filings;1
film;1
finger;70
fire;151
flies;5
floor;147
floors;2
flower;10
fly;34
fog;46
fogs;3
forceps;1
forearms;2
foreheads;1
foreigner;4
foreigners;6
forest;8
formosa;1
fossil;2
foundation;1
freckles;1
friend;516
friendship;18
friendships;2
fruits;2
fund;4
funds;6
furniture;29
futility;1
future;64
garment;1
garments;7
generalization;1
generations;7
gesture;23
gifts;11
gill;2
gipsies;9
gipsy;2
girl;138
girls;4
glasses;58
glue;4
goal;8
goat;2
goose;29
gouts;1
governments;1
grant;10
grasp;23
grass;44
grasses;2
gravity;7
grip;32
grips;2
gull;1
gum;4
guns;12
gypsies;7
habit;42
hairs;4
handedness;1
handling;12
hands;435
hare;1
hawk;4
heads;37
hearts;15
