word;freq
accidents;2
adult;2
affect;9
agave;1
aged;28
anatomy;5
anger;49
animals;6
ankle;5
anxiety;27
apache;1
appendix;1
appetite;6
arabs;3
archives;2
arm;106
art;28
arteries;2
association;5
athletes;1
atmosphere;27
attention;142
attitude;19
australia;11
authorship;1
autobiography;1
bandages;2
bass;1
beak;3
beds;8
beer;4
bees;10
bereavement;2
bible;2
bile;1
biography;2
birds;16
blindness;1
blinking;9
blushing;2
books;53
botany;4
boxing;4
braces;1
brain;69
bread;7
breakfast;98
breast;39
breeding;2
buddhism;1
buffaloes;1
bullying;2
burial;2
burns;1
butter;3
butterflies;5
callosities;2
cannibalism;1
capsules;1
carbuncle;6
cartilage;1
catalepsy;3
cataract;3
cats;1
cattle;7
caves;2
cells;5
ceramics;2
character;96
charcoal;4
charities;3
cheek;12
cheese;3
child;93
chin;41
china;8
chinchilla;1
chloroform;5
cities;2
civilization;2
clergy;2
climate;3
clothing;6
coal;24
cocaine;9
cockroaches;1
coke;1
color;11
comment;8
commerce;1
communication;11
comprehension;3
confusion;7
conscience;23
consciousness;12
consultants;1
cooking;3
cough;5
courage;20
craving;1
creosote;1
crime;228
criminals;30
crowns;4
crying;8
culture;5
dancing;28
darkness;84
death;290
deception;11
deer;4
delirium;9
delusions;1
depression;10
diagnosis;2
diamond;19
dictionary;2
diet;1
diphtheria;1
directory;6
disease;27
disinfectants;1
diving;2
divorce;6
dizziness;1
dogs;15
drama;16
dreams;10
drinking;13
drive;122
dust;33
eagles;1
ear;35
eating;2
education;14
eels;1
efficiency;3
egypt;2
ejaculation;7
emaciation;2
emergencies;3
emotions;15
employment;12
ether;1
europe;33
exercise;21
exhalation;1
expeditions;2
extremities;1
eye;109
eyebrows;36
eyeglasses;1
eyelids;11
face;910
faculty;7
family;150
fathers;2
fatigue;4
fear;223
feathers;2
femur;1
ferns;8
fever;27
fingers;49
firearms;4
fires;6
floods;1
flowers;10
flushing;4
food;40
foot;116
football;3
forearm;12
forehead;43
forgiveness;4
foundations;1
foxes;2
france;17
fraud;4
freedom;12
freezing;2
friends;104
fruit;10
fungi;1
gait;4
gambling;1
garbage;2
geese;17
geranium;1
gestures;2
ginger;1
golf;2
gout;1
government;32
grassland;1
greece;3
grief;27
guilt;22
guinea;8
habits;49
hair;116
hand;745
handwriting;10
happiness;10
hardness;1
hate;16
head;452
headache;4
health;36
hearing;22
heart;236
heel;13
hemorrhage;1
hip;5
history;39
hobbies;1
honey;1
hope;229
horns;3
horses;47
hospitals;1
housekeeping;1
humans;1
ichthyosis;1
illusions;1
